flight_name,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,Date_of_flight
AirAsia,I5-320 | I5-782,10:45,Mumbai,06 hrs 35 mins ,17:20,New Delhi,"₹ 3,600",08-03-2021
AirAsia,I5-671 | I5-979,15:05,Mumbai,06 hrs 45 mins ,21:50,New Delhi,"₹ 3,600",08-03-2021
AirAsia,I5-934 | I5-755,15:25,Mumbai,09 hrs 35 mins ,01:00+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,968",08-03-2021
AirAsia,I5-934 | I5-996,15:25,Mumbai,09 hrs 45 mins ,01:10+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,600",08-03-2021
AirAsia,I5-341 | I5-729,21:55,Mumbai,10 hrs 50 mins ,08:45+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,600",08-03-2021
AirAsia,I5-631 | I5-549,08:35,Mumbai,12 hrs 40 mins ,21:15,New Delhi,"₹ 3,968",08-03-2021
AirAsia,I5-942 | I5-996,12:30,Mumbai,12 hrs 40 mins ,01:10+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,600",08-03-2021
AirAsia,I5-361 | I5-793,10:40,Mumbai,13 hrs 15 mins ,23:55,New Delhi,"₹ 3,600",08-03-2021
Go Air,G8-245 | G8-714,19:30,Mumbai,14 hrs 10 mins ,09:40+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,968",08-03-2021
AirAsia,I5-984 | I5-741,23:25,Mumbai,14 hrs 20 mins ,13:45+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,600",08-03-2021
AirAsia,I5-361 | I5-996,10:40,Mumbai,14 hrs 30 mins ,01:10+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,600",08-03-2021
AirAsia,I5-822 | I5-741,22:10,Mumbai,15 hrs 35 mins ,13:45+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,968",08-03-2021
Spicejet,SG-944 | SG-498,08:25,Mumbai,07 hrs 15 mins ,15:40,New Delhi,"₹ 3,600",08-03-2021
Spicejet,SG-779 | SG-2034,06:05,Mumbai,14 hrs 30 mins ,20:35,New Delhi,"₹ 3,600",08-03-2021
Spicejet,SG-279 | SG-2835,06:30,Mumbai,15 hrs 10 mins ,21:40,New Delhi,"₹ 3,968",08-03-2021
Spicejet,SG-163 | SG-644,18:00,Mumbai,15 hrs 40 mins ,09:40+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,600",08-03-2021
Spicejet,SG-951 | SG-507,17:55,Mumbai,18 hrs 15 mins ,12:10+ 1 DAY09 Mar 2021,New Delhi,"₹ 3,600",08-03-2021
IndiGo,6E-6998 | 6E-2145,16:40,Mumbai,04 hrs 15 mins ,20:55,New Delhi,"₹ 3,968",08-03-2021
IndiGo,6E-213 | 6E-2615,15:45,Mumbai,04 hrs 30 mins ,20:15,New Delhi,"₹ 3,600",08-03-2021
IndiGo,6E-5382 | 6E-2122,14:55,Mumbai,04 hrs 40 mins ,19:35,New Delhi,"₹ 3,600",08-03-2021
IndiGo,6E-836 | 6E-5162,15:45,Mumbai,04 hrs 45 mins ,20:30,New Delhi,"₹ 3,968",08-03-2021
IndiGo,6E-6829 | 6E-2096,09:55,Mumbai,05 hrs ,14:55,New Delhi,"₹ 3,600",08-03-2021
IndiGo,6E-6263 | 6E-2023,05:15,Mumbai,05 hrs 05 mins ,10:20,New Delhi,"₹ 3,600",08-03-2021
IndiGo,6E-464 | 6E-2092,11:50,Mumbai,05 hrs 05 mins ,16:55,New Delhi,"₹ 3,968",08-03-2021
IndiGo,6E-611 | 6E-2513,12:55,Mumbai,05 hrs 05 mins ,18:00,New Delhi,"₹ 3,600",08-03-2021
